                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8658,                 2.5618,                 2.1777,                0.79965,                0.68421,                 0.8927,                0.41558,                  1.482,                 1.7167,                 2.1908,             0.00065591,             0.00065591,             0.00065591
                      2,                 1.5853,                 1.6361,                 2.0364,                0.98083,                0.89474,                0.98761,                0.45517,                 1.7476,                 1.5196,                 1.7554,                0.00132,                0.00132,                0.00132
                      3,                 1.6179,                 1.3189,                 1.9736,                0.90476,                0.99998,                0.98761,                0.44721,                 1.7029,                 1.8244,                 2.1674,              0.0019814,              0.0019814,              0.0019814
                      4,                 1.6168,                 1.2589,                 2.0867,                0.69743,                0.89474,                0.74402,                0.37615,                 1.6553,                 1.4901,                 2.2305,              0.0019881,              0.0019881,              0.0019881
                      5,                 1.6558,                 1.1802,                  2.025,                0.94109,                      1,                  0.969,                0.51506,                 1.7277,                 1.2237,                 1.8638,              0.0019881,              0.0019881,              0.0019881
                      6,                 1.6327,                 1.1456,                 1.9526,                0.84502,                0.94737,                0.91744,                0.51888,                 1.5658,                  1.197,                 1.9889,              0.0019842,              0.0019842,              0.0019842
                      7,                 1.5578,                 1.1098,                 1.9699,                0.91281,                0.89474,                0.95191,                0.55988,                 1.4907,                 1.1552,                 1.8481,              0.0019802,              0.0019802,              0.0019802
                      8,                 1.5776,                 1.0671,                 1.9146,                 0.8299,                0.84211,                0.93508,                0.38851,                  1.701,                 1.2766,                 2.1062,              0.0019762,              0.0019762,              0.0019762
                      9,                 1.5228,                 1.0541,                 1.9269,                0.94614,                0.92517,                0.98195,                0.54256,                 1.5004,                 1.0892,                  1.959,              0.0019723,              0.0019723,              0.0019723
                     10,                 1.4242,                 1.0116,                 1.8166,                0.97937,                0.89474,                0.98195,                0.54982,                 1.3869,                 1.0412,                 1.8811,              0.0019683,              0.0019683,              0.0019683
                     11,                 1.4187,                0.97438,                  1.851,                 0.9969,                0.94737,                 0.9863,                0.57419,                 1.3746,                0.94263,                 1.8536,              0.0019644,              0.0019644,              0.0019644
                     12,                 1.4944,                 0.9726,                 1.8825,                0.80318,                0.94737,                0.94206,                0.54399,                   1.46,                0.98193,                 1.9023,              0.0019604,              0.0019604,              0.0019604
